index_id,"Toxicity to environmental bacteria (EPA Microtox test), -log10 of Conc.(mg/kg)",SMILES
150,4.308459388,c1ccc2ccccc2c1
151,4.303671145,Cc1ccc(Br)cc1
152,4.296507753,C(c1ccccc1)c2ccccc2
153,4.294266813,Clc1ccc(c(Cl)c1Cl)N(=O)=O
154,4.292985532,Cc1cc(O)ccc1N(=O)=O
155,4.288950403,C(c1ccccc1)c2cccnc2
156,4.286106393,Oc1c(Cl)c(Cl)cc(Cl)c1Cl
157,4.28410115,Cc1ccc(N)cc1C
158,4.280361668,CCCCCCCCCCO
159,4.27741865,Cc1cc2cccnc2cc1C
160,4.268118406,COC(=O)c1ccc(C)cc1
161,4.263053463,C(Nc1ccccc1)c2ccccc2
162,4.259049789,Cc1ccc(cc1)S(Cl)(=O)=O
163,4.255378457,ClC(=O)c1ccc(I)cc1
164,4.252085352,COC(=O)c1ccc(OC)cc1
165,4.251686878,Cc1cc(ccn1)c2ccc(cc2)N(=O)=O
166,4.251268816,Clc1cccc(CC#N)c1
167,4.250524555,Nc1c(Cl)cccc1Cl
168,4.250154407,Clc1cccc(Cl)c1Cl
169,4.250032323,CCc1ccc(cc1)N(=O)=O
170,4.248306582,COc1ccc(CO)cc1
171,4.242761267,CNc1ccc(cc1)N(=O)=O
172,4.241877554,ClC(Cl)C(Cl)(Cl)SN1C(=O)C2CC=CCC2C1=O
173,4.240619222,Oc1ccc(cc1)c2ccc(O)cc2
174,4.233268811,Clc1ccc(C=C)cc1
175,4.232713111,FC(F)(F)c1cc(ccc1Br)N(=O)=O
176,4.229724123,CCC(=O)Oc1ccc(cc1)N(=O)=O
177,4.227357434,Clc1ccc(c(c1)N(=O)=O)N(=O)=O
178,4.226342087,OCCc1ccc(Cl)cc1
179,4.222387451,Oc1ccc(cc1)c2ccccc2
180,4.221941658,COC(=O)c1ccc(Br)cc1
181,4.221323734,[H][n]1ncc2cc(ccc21)N(=O)=O
182,4.220784977,Oc1ccc(Oc2ccccc2)cc1
183,4.210654682,CC(C)c1ccccc1
184,4.202054966,SCc1ccccc1
185,4.199420528,Oc1c(Br)cc(Br)cc1Br
